ZipCode,INCIDENTNEIGHBORHOOD
15219,Swisshelm Park
15220,Brighton Heights
15203,East Hills
15210,Homewood South
15252,Marshall-Shadeland
15201,Lincoln-Lemington-Belmar
15218,East Hills
15220,Chartiers City
15218,Hays
15218,Swisshelm Park
15203,Central Oakland
15208,Terrace Village
15227,California-Kirkbride
15210,Lincoln-Lemington-Belmar
15233,Central Business District
15219,St. Clair
15235,Strip District
15243,Central North Side
15206,Sheraden
15220,Marshall-Shadeland
15207,East Liberty
15201,Bloomfield
15243,South Side Flats
15214,Outside City
15214,Allentown
15221,Upper Lawrenceville
15214,East Liberty
15205,Crawford-Roberts
15207,Outside State
15203,Mount Washington
15210,Perry North
15213,Squirrel Hill North
15222,Middle Hill
15207,Homewood North
15225,Outside City
15213,Central Lawrenceville
15206,Bedford Dwellings
15218,Regent Square
15219,Chartiers City
15223,Shadyside
15222,Highland Park
15213,South Side Flats
15203,Chateau
15212,Central Oakland
15233,Bluff
15212,Arlington Heights
15217,West Oakland
15202,Marshall-Shadeland
15122,Lincoln Place
15212,Outside County
15213,Outside City
15229,Perry North
15217,Point Breeze North
15208,Sheraden
15221,Perry South
15234,South Side Flats
15206,West Oakland
15219,New Homestead
15224,Squirrel Hill South
15217,Larimer
15206,South Side Flats
15206,Brighton Heights
15222,Homewood South
15208,Upper Hill
15217,Regent Square
15233,Spring Hill-City View
15205,Spring Garden
15210,West End
15207,Outside County
15213,North Shore
15224,North Oakland
15213,Friendship
15222,Outside State
15214,Spring Garden
15206,Brookline
15235,Perry South
15201,East Liberty
15213,East Liberty
15204,Allentown
15224,Middle Hill
15208,East Liberty
15213,Crafton Heights
15222,North Oakland
15220,Middle Hill
15220,Homewood South
15204,Westwood
15233,Strip District
15238,East Liberty
15233,Homewood South
15202,Brighton Heights
15203,Sheraden
15233,Crawford-Roberts
15209,Central Oakland
15235,Larimer
15205,Marshall-Shadeland
15220,Carrick
15233,North Oakland
15210,Mt. Oliver Boro
15217,Swisshelm Park
15235,Homewood North
15206,Outside State
15233,Crafton Heights
15221,Oakwood
15224,Friendship
15221,Beechview
15204,North Oakland
15239,Homewood South
15235,Outside State
15226,Outside County
15203,Friendship
15205,Sheraden
15227,Outside City
15233,Perry North
15212,Outside State
15122,South Side Flats
15220,Bon Air
15214,Upper Hill
15219,Mt. Oliver Boro
15237,Perry North
15205,South Side Slopes
15207,South Oakland
15203,Strip District
15233,Knoxville
15207,Knoxville
15225,South Side Flats
15221,Shadyside
15204,Shadyside
15235,Homewood West
15233,Bedford Dwellings
15224,South Oakland
15222,Marshall-Shadeland
15222,Troy Hill
15226,Sheraden
15221,Regent Square
15222,North Shore
15233,East Allegheny
15212,Stanton Heights
15212,Oakwood
15205,East Carnegie
15201,Central Business District
15215,Point Breeze
15213,Middle Hill
15210,Bedford Dwellings
15204,South Side Flats
15217,Chateau
15205,Spring Hill-City View
15206,Allegheny Center
15210,Sheraden
15220,East Allegheny
15212,Carrick
15211,Brookline
15214,Outside County
15213,Homewood North
15217,Lincoln-Lemington-Belmar
15211,Central Business District
15211,Highland Park
15235,Marshall-Shadeland
15206,Marshall-Shadeland
15226,Esplen
15209,Lincoln-Lemington-Belmar
15226,Bluff
15217,Knoxville
15213,Crawford-Roberts
15233,Esplen
15214,Upper Lawrenceville
15220,Mount Washington
15226,Allentown
15217,Hazelwood
15213,Squirrel Hill South
15206,Mount Washington
15203,Shadyside
15232,South Side Slopes
15220,South Side Slopes
15232,Lower Lawrenceville
15220,Fairywood
15221,Troy Hill
15275,Perry South
15233,Mount Washington
15216,Sheraden
15226,Arlington
15220,East Liberty
15217,Lincoln Place
15201,Bon Air
15226,Perry South
15226,West End
15233,Fineview
15224,Marshall-Shadeland
15212,South Oakland
15206,North Oakland
15213,Homewood South
15204,East Hills
15210,Lower Lawrenceville
15233,South Side Slopes
15216,Beltzhoover
15206,Central Lawrenceville
15210,Point Breeze
15210,Crafton Heights
15221,Garfield
15203,Beltzhoover
15211,Perry South
15204,Carrick
15206,Beltzhoover
15209,Outside City
15207,Highland Park
15224,Allentown
15236,Beechview
15236,Allegheny Center
15226,Brighton Heights
15238,Outside City
15222,Mount Washington
15217,Carrick
15228,Brookline
15203,Greenfield
15208,Outside State
15227,Garfield
15214,North Shore
15201,South Oakland
15221,South Side Flats
15229,Squirrel Hill North
15216,Northview Heights
15227,East Allegheny
15227,South Side Flats
15203,Squirrel Hill South
15214,Mount Washington
15214,Outside State
15232,East Hills
15226,Homewood South
15212,Upper Hill
15210,Highland Park
15233,Brighton Heights
15212,Shadyside
15226,Fairywood
15220,Bedford Dwellings
15215,South Side Slopes
15214,Manchester
15223,Sheraden
15223,Central Lawrenceville
15221,Middle Hill
15206,Troy Hill
15218,East Liberty
15232,Point Breeze
15210,Shadyside
15203,East Allegheny
15212,Bedford Dwellings
15206,Bluff
15206,Hays
15235,East Hills
15210,Terrace Village
15213,South Side Slopes
15222,East Liberty
15221,Allegheny West
15233,Troy Hill
15217,North Oakland
15275,Friendship
15214,East Allegheny
15203,Larimer
15203,Bloomfield
15211,South Side Slopes
15203,Bedford Dwellings
15220,California-Kirkbride
15214,Sheraden
15212,Point Breeze
15212,Lincoln Place
15201,Troy Hill
15211,West Oakland
15203,Middle Hill
15213,Mount Washington
15222,Allentown
15217,Crawford-Roberts
15226,Overbrook
15222,Knoxville
15233,Greenfield
15213,Marshall-Shadeland
15213,Point Breeze
15206,Upper Lawrenceville
15218,Hazelwood
15224,Troy Hill
15227,Arlington
15217,Homewood South
15203,Allegheny Center
15215,Bloomfield
15233,Squirrel Hill South
15213,Polish Hill
15214,Allegheny Center
15122,Brookline
15208,Strip District
15213,Elliott
15212,Esplen
15203,Central Lawrenceville
15212,Chartiers City
15222,Outside County
15215,East Hills
15206,Lower Lawrenceville
15233,East Liberty
15212,South Side Slopes
15212,Point Breeze North
15214,Homewood South
15206,Spring Hill-City View
15237,Bedford Dwellings
15217,Homewood North
15210,Banksville
15206,Point Breeze North
15207,Central Oakland
15205,Middle Hill
15207,Lincoln-Lemington-Belmar
15201,Homewood South
15221,Outside State
15224,Point Breeze North
15222,Shadyside
15217,Northview Heights
15210,Squirrel Hill North
15237,Lincoln Place
15207,Regent Square
15213,Carrick
15220,Outside State
15205,Highland Park
15222,Spring Hill-City View
15220,East Carnegie
15205,Beechview
15227,Hays
15214,Squirrel Hill North
15238,Bluff
15224,Homewood West
15233,Upper Lawrenceville
15216,Garfield
15214,Chateau
15201,Shadyside
15226,Outside City
15203,Lincoln-Lemington-Belmar
15204,Beechview
15233,Northview Heights
15222,South Oakland
15217,Central Business District
15122,Lincoln-Lemington-Belmar
15208,Northview Heights
15203,Elliott
15218,Garfield
15202,South Side Flats
15226,South Oakland
15210,Garfield
15220,Crawford-Roberts
15216,Outside City
15204,Ridgemont
15203,Spring Hill-City View
15241,Marshall-Shadeland
15217,South Side Flats
15203,Central Business District
15231,Squirrel Hill North
15226,Central Business District
15232,West Oakland
15241,Bluff
15208,Marshall-Shadeland
15203,Northview Heights
15208,Allegheny Center
15218,Homewood South
15217,Central Oakland
15214,Fairywood
15216,Perry North
15208,Central Business District
15206,Central Oakland
15213,Larimer
15204,Spring Garden
15201,Mount Washington
15216,South Oakland
15229,Fineview
15216,South Side Slopes
15223,North Shore
15207,Central Business District
15201,Beechview
15205,West End
15206,Fineview
15213,Perry North
15211,Elliott
15205,Fineview
15217,Spring Hill-City View
15202,Bluff
15210,Marshall-Shadeland
15238,Strip District
15206,Terrace Village
15204,Middle Hill
15226,Allegheny Center
15206,South Oakland
15213,Sheraden
15222,Upper Hill
15207,Spring Hill-City View
15207,East Hills
15214,Bluff
15221,East Allegheny
15222,Central Oakland
15214,Middle Hill
15220,Chateau
15201,East Hills
15233,East Hills
15206,Lincoln Place
15211,Squirrel Hill South
15235,Morningside
15227,North Oakland
15235,Stanton Heights
15227,Central Business District
15221,Highland Park
15222,Brighton Heights
15213,Beechview
15210,Fineview
15201,Outside County
15217,Mount Washington
15233,Allegheny Center
15122,Homewood South
15217,Bluff
15227,Beltzhoover
15212,Homewood West
15208,South Side Flats
15222,South Side Slopes
15224,Greenfield
15208,Greenfield
15210,Beechview
15233,Lincoln-Lemington-Belmar
15210,Duquesne Heights
15220,Knoxville
15207,Squirrel Hill North
15238,Outside County
15201,Highland Park
15234,Crafton Heights
15212,Polish Hill
15224,Upper Hill
15201,Squirrel Hill South
15232,Squirrel Hill North
15212,Central Lawrenceville
15233,Outside City
15227,South Shore
15203,Duquesne Heights
15206,Hazelwood
15205,Outside State
15208,South Side Slopes
15211,Homewood North
15212,Homewood North
15226,Larimer
15213,Lincoln Place
15221,Carrick
15207,South Side Slopes
15210,North Oakland
15211,South Shore
15226,Highland Park
15212,Hays
15205,Esplen
15222,Perry South
15122,Larimer
15213,Brookline
15211,Crafton Heights
15213,Allentown
15211,Westwood
15235,Lincoln-Lemington-Belmar
15203,Crawford-Roberts
15214,Homewood West
15204,Bluff
15204,Central North Side
15226,Crafton Heights
15224,West Oakland
15218,Allegheny Center
15235,Homewood South
15203,Knoxville
